abrupt	陡峭的; 突然的，意外的; 无理的，唐突的; 不连贯的	英 [əˈbrʌpt]　美 [əˈbrʌpt]　
radioactive	放射性的	英 [ˌreɪdiəʊˈæktɪv]　美 [ˌreɪdoʊˈæktɪv]　
radius	桡骨; 半径范围; 半径（距离）; 用半径度量的圆形面积	英 [ˈreɪdiəs]　美 [ˈrediəs]　
random	随机的; 任意的; 胡乱的	英 [ˈrændəm]　美 [ˈrændəm]　
reassure	使安心，使消除疑虑; 再对…进行保险; 再保证	英 [ˌri:əˈʃʊə(r)]　美 [ˌri:əˈʃʊr]　
recede	后退; 减弱; （价值，品质等）跌落，低落，变坏; 收回意见，退出（某种活动）	英 [rɪˈsi:d]　美 [rɪˈsid]　
recipe	食谱; 处方; 秘诀	英 [ˈresəpi]　美 [ˈresəpi]　
recipient	接受者; 容器; 容纳者	英 [rɪˈsɪpiənt]　美 [rɪˈsɪpiənt]　
recite	背诵; 叙述; 列举	英 [rɪˈsaɪt]　美 [rɪˈsaɪt]　
rectangular	长方;  矩形的; 成直角的; 直角坐标的	英 [rek'tæŋɡjələ(r)]　美 [rɛkˈtæŋɡjəlɚ]　
rectify	改正，校正; [化]精馏; [电]整流	英 [ˈrektɪfaɪ]　美 [ˈrɛktəˌfaɪ]　
recur	复发; 重现; 再发生; 回想	英 [rɪˈkɜ:(r)]　美 [rɪˈkɚ]　
recycle	回收利用; 使再循环	英 [ˌri:ˈsaɪkl]　美 [riˈsaɪkəl]　
redundant	多余的，累赘的; （因人员过剩）被解雇的，失业的; 重沓; 衍	英 [rɪˈdʌndənt]　美 [rɪˈdʌndənt]　
reel	卷轴; 卷筒; 卷盘; 绕在卷轴上的线（或金属丝、胶卷等）	英 [ri:l]　美 [ril]　
refreshment	提神，精神恢复; 提神物; 点心，茶点	英 [rɪˈfreʃmənt]　美 [rɪˈfrɛʃmənt]　
refute	驳斥，驳倒；否认真实性；	英 [rɪˈfju:t]　美 [rɪˈfjut]　
regiment	（军队的）团; 大量的人或物	英 [ˈredʒɪmənt]　美 [ˈrɛdʒəmənt]　
rehearsal	排练，排演; 彩排，演习; 复述，详述	英 [rɪˈhɜ:sl]　美 [rɪˈhɜ:rsl]　
reign	当政，统治; 占主导地位	英 [reɪn]　美 [ren]　
rejoice	高兴; 欢庆	英 [rɪˈdʒɔɪs]　美 [rɪˈdʒɔɪs]　
resemblance	相似，形似; 外表，外观; 相似物，相似点; 肖像	英 [rɪˈzembləns]　美 [rɪˈzɛmbləns]　
reproach	责备，责骂; 使丢脸; 申斥; 损伤…的体面	英 [rɪˈprəʊtʃ]　美 [rɪˈproʊtʃ]　
reliance	依靠，依赖; 信任，信赖，信心; 所信赖的人或物	英 [rɪˈlaɪəns]　美 [rɪˈlaɪəns]　
remainder	剩余物; 其他人员; 差数; 廉价出售的图书	英 [rɪˈmeɪndə(r)]　美 [rɪˈmendɚ]　
remnant	残余; 剩余部分; 幸存者; 零料，零头布	英 [ˈremnənt]　美 [ˈrɛmnənt]　
repel	击退; 抵制; 使厌恶; 使不愉快	英 [rɪˈpel]　美 [rɪˈpɛl]　
repression	压抑; 约束; 抑制，镇压	英 [rɪˈpreʃn]　美 [rɪˈprɛʃən]　
residential	住宅的，适于作住宅的; 与居住有关的; 适宜作住宅的	英 [ˌrezɪˈdenʃl]　美 [ˌrɛzɪˈdɛnʃəl]　
retrospect	回顾，回想	英 [ˈretrəspekt]　美 [ˈrɛtrəˌspɛkt]　
revenge	报仇，报复	英 [rɪˈvendʒ]　美 [rɪˈvɛndʒ]　
rim	轮缘; （圆形器皿的）边，缘，框	英 [rɪm]　美 [rɪm]　
ritual	典礼; （宗教等的）仪式; 例行公事，老规矩	英 [ˈrɪtʃuəl]　美 [ˈrɪtʃuəl]　
robust	精力充沛的; 坚定的; 粗野的，粗鲁的; 需要体力的	英 [rəʊˈbʌst]　美 [roʊˈbʌst]　
rotary	旋转的	英 [ˈrəʊtəri]　美 [ˈroʊtəri]　
salute	欢迎，致敬	英 [səˈlu:t]　美 [səˈlut]　
salvation	拯救，救助; 救星，救世主; 解救办法，救济措施; 救济品	英 [sælˈveɪʃn]　美 [sælˈveʃən]　
scent	嗅觉; 香味，气味; （动物的）臭迹; 痕迹，踪迹	英 [sent]　美 [sɛnt]　
sceptical	怀疑的; 怀疑论者的	英 [ˈskeptɪkl]　美 [ˈskɛptɪkəl]　
scorn	轻蔑; 鄙视; 不屑一顾; 笑柄	英 [skɔ:n]　美 [skɔ:rn]　
scrap	废料; 小片; 残余物; 吵架	英 [skræp]　美 [skræp]　
scrub	用力擦洗，刷洗; 取消（原有安排）	英 [skrʌb]　美 [skrʌb]　
scrutiny	监督; 细看，细阅; 仔细的观察	英 [ˈskru:təni]　美 [ˈskrutni]　
sculpture	雕刻（术），塑像; 雕刻品; 刻纹	英 [ˈskʌlptʃə(r)]　美 [ˈskʌlptʃɚ]　
segregate	隔离; 分离; （使）分开; 隔离并区别对待（不同种族、宗教或性别的人）	英 [ˈsegrɪgeɪt]　美 [ˈsɛɡrɪˌɡet]　
sensation	感觉; 轰动; 知觉; 直觉	英 [senˈseɪʃn]　美 [sɛnˈseʃən]　
sentiment	情操; 感情，情绪; 意见，观点; 感伤	英 [ˈsentɪmənt]　美 [ˈsɛntəmənt]　
serial	连续的; 连载的; 顺序排列的; 分期偿付的	英 [ˈsɪəriəl]　美 [ˈsɪriəl]　
setback	挫折; 退步; 阻碍; 逆流	英 [ˈsetbæk]　美 [ˈsɛtˌbæk]　
shabby	卑鄙的; 破旧的，衣衫褴褛的; 悭吝的; 低劣的，下流的	英 [ˈʃæbi]　美 [ˈʃæbi]　
shaft	柄，轴; 矛，箭; 〈非〉嘲笑; 光线	英 [ʃɑ:ft]　美 [ʃæft]　
shark	鲨鱼; 坑蒙拐骗的人，诈骗者; [俚]老手	英 [ʃɑ:k]　美 [ʃɑ:rk]　
shatter	使破碎，使碎裂，砸碎; 使…成为泡影; 使…痛不欲生; 使…散开	英 [ˈʃætə(r)]　美 [ˈʃætɚ]　
shepherd	牧羊人，羊倌; 牧师; 指导者	英 [ˈʃepəd]　美 [ˈʃepərd]　
shove	推，猛推	英 [ʃʌv]　美 [ʃʌv]　
shutter	快门; 百叶窗; 遮光器	英 [ˈʃʌtə(r)]　美 [ˈʃʌtɚ]　
siege	围攻，围困，围城（期间）; 不断袭击; 长期努力	英 [si:dʒ]　美 [sidʒ]　
sieve	滤网; [粮食][矿]筛子; 不能保守秘密的人，嘴不严的人	英 [sɪv]　美 [sɪv]　
silicon	硅; 硅元素	英 [ˈsɪlɪkən]　美 [ˈsɪlɪkən, -ˌkɑn]　
skeleton	骨骼; （建筑物等的）骨架; 梗概; 骨瘦如柴的人（或动物）	英 [ˈskelɪtn]　美 [ˈskɛlɪtn]　
skeptical	怀疑性的，好怀疑的，无神论的	英 ['skeptɪkəl]　美 ['skeptɪkəl]　
skip	跳; 跳绳; 悄悄溜走; 快速转移	英 [skɪp]　美 [skɪp]　
slack	懈怠的; 松（弛）的; 清淡的; 不活跃的	英 [slæk]　美 [slæk]　
slash	大幅削减; 挥砍; 鞭打; 严厉批评	英 [slæʃ]　美 [slæʃ]　
slaughter	大屠杀; 屠宰（动物）; 大减价，贱卖; 〈口〉强烈谴责，猛烈抨击	英 [ˈslɔ:tə(r)]　美 [ˈslɔtɚ]　
slick	光滑的; 华而不实的; 熟练的，灵巧的; 机灵的，聪明的	英 [slɪk]　美 [slɪk]　
slogan	标语，口号; 呐喊声; （商业广告上用的）短语	英 [ˈsləʊgən]　美 [ˈsloʊgən]　
slot	位置; 狭槽，水沟; [人名] 斯洛特; 硬币投币口	英 [slɒt]　美 [slɑ:t]　
slot	位置; 狭槽，水沟; [人名] 斯洛特; 硬币投币口	英 [slɒt]　美 [slɑ:t]　
slump	大幅度下降，暴跌; 沉重或突然地落下[倒下]	英 [slʌmp]　美 [slʌmp]　
smuggle	走私; 偷运; 私运; 不按规章地偷带（人或物）	英 [ˈsmʌgl]　美 [ˈsmʌɡəl]　
snack	快餐，点心; 加餐	英 [snæk]　美 [snæk]　
sniff	嗅; 发现; 鄙视地说; 深深吸入; 忿忿不平地说	英 [snɪf]　美 [snɪf]　
sociology	社会学; 群体生态学	英 [ˌsəʊsiˈɒlədʒi]　美 [ˌsoʊsiˈɑ:lədʒi]　
solicitor	初级律师; 恳求者，求婚者; 〈美〉掮客，募捐人	英 [səˈlɪsɪtə(r)]　美 [səˈlɪsɪtɚ]　
solidarity	团结	英 [ˌsɒlɪˈdærəti]　美 [ˌsɑ:lɪˈdærəti]　
soluble	[化] 可溶的; 可以解决的; 可以解释的; [数]可解的	英 [ˈsɒljəbl]　美 [ˈsɑ:ljəbl]　
sovereign	君主; 最高统治者; 独立国; 旧时价值为一镑的英国金币	英 [ˈsɒvrɪn]　美 [ˈsɑ:vrən]　
spacious	宽敞的; 广阔的; （知识）广博的	英 [ˈspeɪʃəs]　美 [ˈspeʃəs]　
specialty	专业，专长; 特点，特别事项; 特性，特质; 盖印的契约	英 [ˈspeʃəlti]　美 [ˈspɛʃəlti]　
spectacle	眼镜; 奇观，壮观; 光景，景象; 表演，场面	英 [ˈspektəkl]　美 [ˈspɛktəkəl]　
spectrum	光谱; 波谱; 范围; 系列	英 [ˈspektrəm]　美 [ˈspɛktrəm]　
spiral	旋涡; 螺旋（线）; 螺旋形物; （足球运动的）旋球	英 [ˈspaɪrəl]　美 [ˈspaɪrəl]　
splash	使（液体）溅起	英 [splæʃ]　美 [splæʃ]　
sprinkle	洒，撒; 用…点缀; 下小雨	英 [ˈsprɪŋkl]　美 [ˈsprɪŋkəl]　
spy	间谍; 密探	英 [spaɪ]　美 [spaɪ]　
stab	刺; 刺; 将…刺入; 对…做出刺或戳的动作	英 [stæb]　美 [stæb]　
stabilise	（使）稳定，（使）稳固	英 ['stæbɪlaɪz]　美 ['steɪblˌaɪz]　
stability	稳定（性），稳固; 坚定，恒心	英 [stəˈbɪləti]　美 [stəˈbɪlɪti]　
stagger	蹒跚; 动摇; 犹豫	英 [ˈstægə(r)]　美 [ˈstæɡɚ]　
staircase	楼梯; 楼梯间	英 [ˈsteəkeɪs]　美 [ˈsterkeɪs]　
staple	主食; 主要产品; 钉书钉，U 形钉; 主题，主要部份	英 [ˈsteɪpl]　美 [ˈstepəl]　
stereotype	陈规旧习，旧规矩; 固定的形式; 铅版; 铅版制版法，铅板印刷	英 [ˈsteriətaɪp]　美 [ˈstɛriəˌtaɪp, ˈstɪr-]　
stimulus	刺激物; 刺激因素; 激法物	英 [ˈstɪmjələs]　美 [ˈstɪmjələs]　
stitch	（缝纫或编织中的）一针; 缝法; 衣服; （缝合伤口的）缝线	英 [stɪtʃ]　美 [stɪtʃ]　
straightforward	直截了当的; 坦率的; 明确的	英 [ˌstreɪtˈfɔ:wəd]　美 [ˌstreɪtˈfɔ:rwərd]　
stray	走失; 偏离正题; 走入歧途; （已婚者或有固定关系者）有外遇	英 [streɪ]　美 [stre]　
streamline	把…做成流线型; 使现代化; 组织; 使简单化	英 [ˈstri:mlaɪn]　美 [ˈstrimˌlaɪn]　
stride	步幅; 大步，阔步; 进展; 一跨（的宽度）	英 [straɪd]　美 [straɪd]　
subjective	主观的; 个人的; 内省的	英 [səbˈdʒektɪv]　美 [səbˈdʒɛktɪv]　
submarine	潜艇; 海底生物	英 [ˌsʌbməˈri:n]　美 [ˈsʌbməˌrin, ˌsʌbməˈrin]　
subordinate	下级的; 级别或职位较低的; 次要的; 附属的	英 [səˈbɔ:dɪnət]　美 [səˈbɔ:rdɪnət]　
stern	严肃的; 严厉的，严峻的; 坚定的，不动摇的	英 [stɜ:n]　美 [stɜ:rn]　
subtle	微妙的; 巧妙的; 敏感的; 狡猾的	英 [ˈsʌtl]　美 [ˈsʌtl]　
sue	起诉; 控告，控诉，和…打官司; 请求; 提起（诉讼）要求判决	英 [su:]　美 [su]　
suffice	足够; 有能力	英 [səˈfaɪs]　美 [səˈfaɪs]　
suite	[计]（软件的）套件; （房间，器具等）一套，一副; [乐]组曲; 随从	英 [swi:t]　美 [swit]　
sulphur	硫磺; 硫磺色，黄绿色; [动]粉蝶科蝶	英 ['sʌlfə(r)]　美 [ˈsʌlfɚ]　
supplementary	增补的，追加的; supplementary	英 [ˌsʌplɪˈmentri]　美 [ˌsʌplɪˈmentri]　
surge	汹涌; 大浪，波涛	英 [sɜ:dʒ]　美 [sɜ:rdʒ]　
susceptible	易受影响的; 易受感染的; 善感的; 可以接受或允许的	英 [səˈseptəbl]　美 [səˈsɛptəbəl]　
suspicious	可疑的; 猜疑的，怀疑的; 多疑的，不信任的; 多心	英 [səˈspɪʃəs]　美 [səˈspɪʃəs]　
swamp	湿地; 沼泽（地）	英 [swɒmp]　美 [swɑ:mp]　
symmetry	对称; 对称美; 整齐，匀称	英 [ˈsɪmətri]　美 [ˈsɪmɪtri]　
syndrome	综合征; 综合症状; 典型表现	英 [ˈsɪndrəʊm]　美 [ˈsɪndroʊm]　
tack	航向; [航]食物; 劣质材料，赝品; 方针，方法	英 [tæk]　美 [tæk]　
tan	黄褐色，棕黄色; 鞣料; 马戏团; 晒黑的皮色	英 [tæn]　美 [tæn]　
tangle	纠缠，纠纷; 混乱，慌乱; 昏乱的状态; 争论	英 [ˈtæŋgl]　美 [ˈtæŋɡəl]　
tease	挑逗; 取笑，戏弄; 强要	英 [ti:z]　美 [tiz]　
telecommunications	电讯; [电]电通信; 电信，通讯; 电信学	英 [ˌtelikəˌmju:nɪˈkeɪʃnz]　美 [ˌtelikəˌmjuːnɪˈkeɪʃnz]　
tempt	吸引; 引诱，怂恿; 冒…的风险; 使感兴趣	英 [tempt]　美 [tɛmpt]　
tentative	试探性的; 尝试性的; 试验的; 不确定的	英 [ˈtentətɪv]　美 [ˈtɛntətɪv]　
terminate	结束; 使终结; 解雇; 到达终点站	英 [ˈtɜ:mɪneɪt]　美 [ˈtɜ:rmɪneɪt]　
terrific	了不起的; 极好的; 异乎寻常的; 很大的	英 [təˈrɪfɪk]　美 [təˈrɪfɪk]　
terrify	使恐怖，使惊吓; 恐吓，吓唬; 威胁	英 [ˈterɪfaɪ]　美 [ˈtɛrəˌfaɪ]　
testimony	（法庭上证人的）证词; 证明，证据; 表示，表明; 声明，宣言	英 [ˈtestɪməni]　美 [ˈtestɪmoʊni]　
thermal	热的，保热的; 温热的	英 [ˈθɜ:ml]　美 [ˈθɜ:rml]　
thrill	使激动; 使陶醉; 使颤动、战栗或振动	英 [θrɪl]　美 [θrɪl]　
tile	瓦片，瓷砖; 空心砖; 麻将牌	英 [taɪl]　美 [taɪl]　
tilt	使倾斜; （在马上）拿枪扎; 抨击，攻击	英 [tɪlt]　美 [tɪlt]　
timid	胆小的; 羞怯的; 怕人; 羞手羞脚	英 [ˈtɪmɪd]　美 [ˈtɪmɪd]　
token	象征; 记号; 代币	英 [ˈtəʊkən]　美 [ˈtoʊkən]　
tow	牵引; 拖，拉	英 [təʊ]　美 [toʊ]　
toxic	有毒的; 中毒的; 因中毒引起的	英 [ˈtɒksɪk]　美 [ˈtɑ:ksɪk]　
trademark	（注册）商标; （人的行为或衣着的）特征，标记	英 [ˈtreɪdmɑ:k]　美 [ˈtreɪdmɑ:rk]　
trait	特点，特性; 少许	英 [treɪt]　美 [tret]　
transaction	交易，业务，事务; 办理，处理; （一笔）交易，（一项）事务; （学会等的）会议记录，学报	英 [trænˈzækʃn]　美 [trænˈsækʃən, -ˈzæk-]　
transient	短暂的; 转瞬即逝的; 临时的	英 [ˈtrænziənt]　美 [ˈtrænziənt]　
trench	战壕; 沟，渠	英 [trentʃ]　美 [trɛntʃ]　
tribute	致敬; 贡品; 悼念; 体现	英 [ˈtrɪbju:t]　美 [ˈtrɪbjut]　
triple	三倍的，三方的，三部分的	英 [ˈtrɪpl]　美 [ˈtrɪpəl]　
trivial	琐碎的，无价值的; 平常的，平凡的; 不重要的; [生]种的	英 [ˈtrɪviəl]　美 [ˈtrɪviəl]　
tuck	吃，喝; 折叠（衣服的）褶; 包起，裹起; 挤进	英 [tʌk]　美 [tʌk]　
tug	用力拉，使劲拉; 使劲，挣扎; [航海]用拖船拖曳; 竞争	英 [tʌg]　美 [tʌɡ]　
tumble	跌倒，摔倒; 被绊倒; 倒塌; 翻来覆去，翻腾	英 [ˈtʌmbl]　美 [ˈtʌmbəl]　
turbulent	骚乱的，混乱的; 激流的，湍流的; 吵闹的; 强横的	英 [ˈtɜ:bjələnt]　美 [ˈtɜ:rbjələnt]　
ultraviolet	紫外线的; 紫外的; 产生紫外线的	英 [ˌʌltrəˈvaɪələt]　美 [ˌʌltrəˈvaɪəlɪt]　
underestimate	低估; 看轻; 对…估计不足; 把…的价值估计过低	英 [ˌʌndərˈestɪmeɪt]　美 [ˌʌndɚˈɛstəmet]　
undermine	逐渐削弱; 使逐步减少效力; 从根基处破坏; 挖…的墙脚	英 [ˌʌndəˈmaɪn]　美 [ˌʌndərˈmaɪn]　
unfold	展开，打开	英 [ʌnˈfəʊld]　美 [ʌnˈfoʊld]　
unify	统一; 使联合; 使相同; 使一致	英 [ˈju:nɪfaɪ]　美 [ˈjunəˌfaɪ]　
update	更新，使现代化; 校正，修正	英 [ˌʌpˈdeɪt]　美 [ʌpˈdet]　
upgrade	向上的斜坡	英 [ˌʌpˈgreɪd]　美 [ˈʌpˌɡred]　
uphold	支持; 维持; 赞成; 支撑	英 [ʌpˈhəʊld]　美 [ʌpˈhoʊld]　
vegetation	植物（总称），草木; [医]赘生物，增殖体; 无所作为的生活，单调的生活; [植]营养体生长，发育	英 [ˌvedʒəˈteɪʃn]　美 [ˌvɛdʒɪˈteʃən]　
veil	面纱; 掩饰; 覆盖物; 托词	英 [veɪl]　美 [vel]　
vein	静脉; [地]矿脉，岩脉; [植]叶脉; 气质，倾向	英 [veɪn]　美 [ven]　
velvet	天鹅绒; 丝绒; 立绒; 赢得的钱	英 [ˈvelvɪt]　美 [ˈvɛlvɪt]　
vent	排气孔; 通风孔; （感情等的）发泄，吐露; （鸟，虫，鱼的）肛门	英 [vent]　美 [vɛnt]　
verge	边，边缘; 界限; 范围; 起始点	英 [vɜ:dʒ]　美 [vɜ:rdʒ]　
verse	诗篇; 诗，韵文; 诗节，诗行; 圣经中的节	英 [vɜ:s]　美 [vɜ:rs]　
versus	对抗; （表示两队或双方对阵）对; （比较两种不同想法、选择等）与…相对	英 [ˈvɜ:səs]　美 [ˈvɜ:rsəs]　
visa	签证	英 [ˈvi:zə]　美 ['vi:zə]　
visualise	 想象; 设想; 使可见;  使具体化	英 ['vɪzjʊəlaɪz]　美 ['vɪʒʊrlˌaɪz]　
visualize	设想; 形成思维图像; 使可见	英 [ˈvɪʒuəlaɪz]　美 [ˈvɪʒuəˌlaɪz]　
void	无效的; 空的，空虚的，没人住的; （职位）空缺着的	英 [vɔɪd]　美 [vɔɪd]　
vulnerable	（地方）易受攻击的; 易受伤的; 易受批评的; [桥牌]已成局的	英 [ˈvʌlnərəbl]　美 [ˈvʌlnərəbəl]　
wallet	钱包，皮夹子	英 [ˈwɒlɪt]　美 [ˈwɑ:lɪt]　
warehouse	仓库，货栈; 批发商店; 福利库	英 [ˈweəhaʊs]　美 [ˈwerhaʊs]　
watt	[电]瓦特	英 [wɒt]　美 [wɑ:t]　
weary	疲倦的; 困乏的; 令人厌倦[生厌，发腻]的; 感到厌倦的	英 [ˈwɪəri]　美 [ˈwɪri]　
